,estimated_yield,matched_crop
"Deodar cedar, fountain tree, Indian cedar, Himalayan cedar, cedre de l'Himalaya, cedro do Himalaia, cedro Deodara",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Desert wattle,2587.6,cashewapple
"Devil's bit scabious, ofbit, itch, blue scabious, blue buttons, morso diabolico, morte do diabo, escabiosa",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Dew grass,10990.0,grapes
Djoa'n,20459.3,oranges
Drakensberg wire grass,23670.0,cranberries
"Durango pine, pinheiro de Durango",9920.2,mangoes guavas and mangosteens
East African camphor wood,670.3,cinnamon and cinnamontree flowers raw
"Eastern white cedar, American arborvitae, false white cedar, Northern white cedar, tree of life, thuya du Canada, tuia americana",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Ecuador laurel, garlic tree, cyp, cypre, salmwood, freijÃ³ louro, urua, louro amarelo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Edible milkpea,8074.5,peas green
Edible spike rush,434.4,pyrethrum dried flowers
"Egyptian clover, berseem clover, trefle d'Alexandrie, bersim, reglisse, Alexandriner Klee, Aegyptischer Klee, trifoglio d'Alessandria, trifoglio egiziano, trevo de Alexandria, trevo do Egipto, trebol de Alejandria",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Egyptian lotus, Egyptian bean, sacred lotus, lotus, sacred bean, water bean, Indian lotus, Hindu lotus, Chinese arrowroot, East Indian lotus, nelumbo, nelumbo rosa, loto indico",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Egyptian thorn, red heat, scented-pod acacia, Nile acacia, thorn, scented thorn, babul acacia, Arabic gumtree, Egyptian mimosa, Prickly acacia, gommier rouge, Acacia d'Arabie, Acacia de Cayenne, acacia a gomme, acacia d'Egypte, gommier d'Egypte, arabische Akazie, gummi- Akazie, Aegyptische Akazie, kudupod, stinkpeul, fulissa (Ethiopia), ruikperul, garad, sant, aschawkah al misriyah, osdi (Yemen), babla (Bangladesh), babul, baboul (India), kikar (India), acacia d'Egitto, ol'erbat, espinheiro preto (Cape Verde), espinho preto (Cape Verde), guider, marah, tugaar, galol, tuwer, acacia gomifera, goma arÃ¡bica, mgunga, karu-velam, lekkerruikpeul, motse, ongue (Angola), lekwele (Botswana), bagani-iri (Cameroon), bani (Cameroon), barana (Cameroon), boina (Cameroon), daibe (Cameroon), gabde (Cameroon), gabdere (Cameroon), gabdi (Cameroon), Egyptian Acacia, bano (Guinea-Bissau), gaude (Guinea-Bissau), babla (India), dauria (India), godi (India), godi babul (India), kabuli kikar (India), kaora (India), kaulia (India), k",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Elephant's foot,480.5,cocoa beans
"Ellington curse, klu, cassie, espino blanco, aroma, popinac, kandaroma, kolu, vaivai vaka-vatona, vaivai vakavotona, ban baburi, oki, te kaibakoa (Kiribati), debena (Nauru), mimosa bush, needle bush, sweet acacia, Prickly Moses, Perfumed wattle, Cassie flower, Sweet Mimosa Bush, Sponge flower, Scented Wattle",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Emerald fern, isiqobola, umgcagcazane, uvelabahleke, cat's tail fern, jakkals stert",16846.9,leeks and other alliaceous vegetables
"English elm, Engelsk elm, mosqueiro, olmo ingles",13499.1,tangerines mandarins clementines
Ethiopian rattlebox (English),31617.7,eggplants aubergines
"European alder, common alder, black alder, irish fearnog, owle, ontano, ontano nero, aune, aulne, amieiro vulgar, amieiro negro, aliso, aliso negro, Erle",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"European bittersweet, bittersweet, bitter nightshade, woody nightshade, blue nightshade, blue bindweed, tether-devil, douce-amere, dulcamara, uva de cao, doce-amarga, amara-dulcis, BittersÃ¼Ã, Dulcamarae stipites",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"European cowslip, English cowslip, yellow Star-of-Bethlehem, pagle, palsywort, primevere officinale, coucou, schluesselblume, margarida dos prados, primavera, bem-me-quer",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"European cranberry, Alpine blueberry, marshberry, clusterberry, foxberry, flowering foxberry, cowberry, lingberry, lingenberry, lingonberry, mountain cranberry, rock cranberry, tyttebÃ¦r, arando da Europa, Preiselbeere",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
